Provider,IP_Claims_Total,OP_Claims_Total,Total_Reimbursed,Claim_Ratio,Inpatient_Visits,Outpatient_Visits,PotentialFraud,Claim_Ratio_IP_to_OP,Claim_Ratio_OP_to_Total,Avg_IP_Claim,Avg_OP_Claim,Total_Visits,IP_to_Total_Visit_Ratio,OP_to_Total_Visit_Ratio
PRV51001,97000.0,7640.0,104640.0,12.69467347205863,5.0,20.0,No,12.69467347205863,0.07301153467570073,16166.666666666666,363.8095238095238,25.0,0.19230769230769232,0.7692307692307693
PRV51003,573000.0,32670.0,605670.0,17.538489792170427,62.0,70.0,Yes,17.538489792170427,0.05394017544178275,9095.238095238095,460.14084507042253,132.0,0.46616541353383456,0.5263157894736842
PRV51004,0.0,52170.0,52170.0,0.0,0.0,149.0,No,0.0,0.9999808322631347,0.0,347.8,149.0,0.0,0.9933333333333333
PRV51005,0.0,280910.0,280910.0,0.0,0.0,1165.0,Yes,0.0,0.999996440153643,0.0,240.91766723842196,1165.0,0.0,0.9991423670668954
PRV51007,19000.0,14710.0,33710.0,1.2915505404119367,3.0,69.0,No,1.2915505404119367,0.4363560855507104,4750.0,210.14285714285714,72.0,0.0410958904109589,0.9452054794520548
PRV51008,25000.0,10630.0,35630.0,2.351613206659769,2.0,41.0,No,2.351613206659769,0.29833571889646654,8333.333333333334,253.0952380952381,43.0,0.045454545454545456,0.9318181818181818
PRV51011,5000.0,11630.0,16630.0,0.42988565041698906,1.0,57.0,No,0.42988565041698906,0.6992964944982262,2500.0,200.51724137931035,58.0,0.01694915254237288,0.9661016949152542
PRV51012,0.0,16890.0,16890.0,0.0,0.0,48.0,No,0.0,0.999940796874075,0.0,344.6938775510204,48.0,0.0,0.9795918367346939
PRV51013,0.0,14880.0,14880.0,0.0,0.0,46.0,No,0.0,0.9999328002150393,0.0,316.59574468085106,46.0,0.0,0.9787234042553191
PRV51014,0.0,10480.0,10480.0,0.0,0.0,30.0,No,0.0,0.9999045892567503,0.0,338.06451612903226,30.0,0.0,0.967741935483871
PRV51015,0.0,700.0,700.0,0.0,0.0,8.0,No,0.0,0.9985734664764622,0.0,77.77777777777777,8.0,0.0,0.8888888888888888
PRV51016,0.0,170.0,170.0,0.0,0.0,6.0,No,0.0,0.9941520467836257,0.0,24.285714285714285,6.0,0.0,0.8571428571428571
PRV51017,0.0,142720.0,142720.0,0.0,0.0,515.0,No,0.0,0.9999929933226365,0.0,276.5891472868217,515.0,0.0,0.998062015503876
PRV51021,269000.0,79830.0,348830.0,3.36961831869825,29.0,228.0,Yes,3.36961831869825,0.22885007353130885,8966.666666666666,348.6026200873362,257.0,0.1124031007751938,0.8837209302325582
PRV51023,54000.0,11610.0,65610.0,4.6507622082507964,9.0,27.0,No,4.6507622082507964,0.17695203548185517,5400.0,414.64285714285717,36.0,0.24324324324324326,0.7297297297297297
PRV51024,61000.0,3050.0,64050.0,19.993444772205834,9.0,30.0,No,19.993444772205834,0.04761830416386942,6100.0,98.38709677419355,39.0,0.225,0.75
PRV51025,86000.0,32350.0,118350.0,2.6583413186609377,13.0,74.0,No,2.6583413186609377,0.2733394732617384,6142.857142857143,431.3333333333333,87.0,0.14772727272727273,0.8409090909090909
PRV51026,0.0,19840.0,19840.0,0.0,0.0,76.0,No,0.0,0.9999495993145506,0.0,257.6623376623377,76.0,0.0,0.987012987012987
PRV51027,0.0,29840.0,29840.0,0.0,0.0,53.0,No,0.0,0.9999664890586777,0.0,552.5925925925926,53.0,0.0,0.9814814814814815
PRV51029,0.0,30660.0,30660.0,0.0,0.0,93.0,No,0.0,0.9999673852777143,0.0,326.17021276595744,93.0,0.0,0.9893617021276596
PRV51030,705600.0,34160.0,739760.0,20.655133046456484,82.0,89.0,No,20.655133046456484,0.04617707610971652,8501.204819277109,379.55555555555554,171.0,0.47674418604651164,0.5174418604651163
PRV51031,329000.0,30720.0,359720.0,10.709286807070082,28.0,157.0,No,10.709286807070082,0.08539951795975215,11344.827586206897,194.43037974683546,185.0,0.15053763440860216,0.8440860215053764
PRV51032,0.0,5420.0,5420.0,0.0,0.0,23.0,No,0.0,0.9998155321896329,0.0,225.83333333333334,23.0,0.0,0.9583333333333334
PRV51035,29000.0,3560.0,32560.0,8.143779837124404,1.0,29.0,No,8.143779837124404,0.10933325143576672,14500.0,118.66666666666667,30.0,0.03225806451612903,0.9354838709677419
PRV51036,0.0,74880.0,74880.0,0.0,0.0,278.0,No,0.0,0.9999866454774909,0.0,268.38709677419354,278.0,0.0,0.996415770609319
PRV51037,214000.0,128230.0,342230.0,1.6688632234015175,23.0,431.0,Yes,1.6688632234015175,0.37468844143283336,8916.666666666666,296.8287037037037,454.0,0.05054945054945055,0.9472527472527472
PRV51038,229600.0,35890.0,265490.0,6.397146917054415,30.0,111.0,No,6.397146917054415,0.13518349021247425,7406.451612903225,320.44642857142856,141.0,0.2112676056338028,0.7816901408450704
PRV51040,63000.0,11470.0,74470.0,5.492110539621654,9.0,77.0,No,5.492110539621654,0.15401968551516698,6300.0,147.05128205128204,86.0,0.10344827586206896,0.8850574712643678
PRV51041,0.0,7410.0,7410.0,0.0,0.0,34.0,No,0.0,0.99986506544326,0.0,211.71428571428572,34.0,0.0,0.9714285714285714
PRV51042,0.0,48050.0,48050.0,0.0,0.0,142.0,No,0.0,0.9999791887785894,0.0,336.013986013986,142.0,0.0,0.993006993006993
PRV51043,0.0,4480.0,4480.0,0.0,0.0,23.0,No,0.0,0.999776835527784,0.0,186.66666666666666,23.0,0.0,0.9583333333333334
PRV51044,0.0,21330.0,21330.0,0.0,0.0,59.0,No,0.0,0.999953119872486,0.0,355.5,59.0,0.0,0.9833333333333333
PRV51045,0.0,8390.0,8390.0,0.0,0.0,31.0,No,0.0,0.9998808246931236,0.0,262.1875,31.0,0.0,0.96875
PRV51046,101000.0,8370.0,109370.0,12.065464102257796,8.0,30.0,No,12.065464102257796,0.0765285130427627,11222.222222222223,270.0,38.0,0.20512820512820512,0.7692307692307693
PRV51047,0.0,2530.0,2530.0,0.0,0.0,11.0,No,0.0,0.9996048992493086,0.0,210.83333333333334,11.0,0.0,0.9166666666666666
PRV51048,19000.0,8700.0,27700.0,2.183657050913688,4.0,34.0,No,2.183657050913688,0.31406808418468646,3800.0,248.57142857142858,38.0,0.10256410256410256,0.8717948717948718
PRV51049,0.0,21720.0,21720.0,0.0,0.0,71.0,No,0.0,0.9999539616039778,0.0,301.6666666666667,71.0,0.0,0.9861111111111112
PRV51052,14000.0,16800.0,30800.0,0.8332837331111244,2.0,44.0,Yes,0.8332837331111244,0.5454368364663484,4666.666666666667,373.3333333333333,46.0,0.0425531914893617,0.9361702127659575
PRV51053,8000.0,0.0,8000.0,8000.0,1.0,0.0,No,8000.0,0.0,4000.0,0.0,1.0,0.5,0.0
PRV51054,0.0,15130.0,15130.0,0.0,0.0,57.0,No,0.0,0.999933910514837,0.0,260.86206896551727,57.0,0.0,0.9827586206896551
PRV51055,16700.0,4940.0,21640.0,3.3798826148552923,2.0,20.0,No,3.3798826148552923,0.228270412642669,5566.666666666667,235.23809523809524,22.0,0.08695652173913043,0.8695652173913043
PRV51056,8000.0,6700.0,14700.0,1.1938516639307566,2.0,20.0,No,1.1938516639307566,0.45575130943473235,2666.6666666666665,319.04761904761904,22.0,0.08695652173913043,0.8695652173913043
PRV51057,0.0,6830.0,6830.0,0.0,0.0,5.0,No,0.0,0.9998536085492608,0.0,1138.3333333333333,5.0,0.0,0.8333333333333334
PRV51058,91000.0,16030.0,107030.0,5.676501777805502,5.0,78.0,No,5.676501777805502,0.14976969289271333,15166.666666666666,202.91139240506328,83.0,0.05952380952380952,0.9285714285714286
PRV51059,401000.0,20060.0,421060.0,19.98903344798365,25.0,71.0,Yes,19.98903344798365,0.04764155312413166,15423.076923076924,278.6111111111111,96.0,0.25773195876288657,0.7319587628865979
PRV51060,35000.0,8710.0,43710.0,4.017908391688669,5.0,37.0,No,4.017908391688669,0.19926334332319096,5833.333333333333,229.21052631578948,42.0,0.11627906976744186,0.8604651162790697
PRV51061,3000.0,51940.0,54940.0,0.0577578406268651,1.0,144.0,No,0.0577578406268651,0.9453777688793433,1500.0,358.2068965517241,145.0,0.00684931506849315,0.9863013698630136
PRV51062,45000.0,108380.0,153380.0,0.41520192653693916,3.0,394.0,No,0.41520192653693916,0.70660642452455,11250.0,274.37974683544303,397.0,0.007537688442211055,0.9899497487437185
PRV51063,0.0,51110.0,51110.0,0.0,0.0,149.0,No,0.0,0.9999804347400755,0.0,340.73333333333335,149.0,0.0,0.9933333333333333
PRV51064,280000.0,80320.0,360320.0,3.4860123753439325,36.0,267.0,Yes,3.4860123753439325,0.22291234760116674,7567.5675675675675,299.7014925373134,303.0,0.11842105263157894,0.8782894736842105
PRV51065,75000.0,1570.0,76570.0,47.740292807129215,10.0,18.0,No,47.740292807129215,0.02050384610361625,6818.181818181818,82.63157894736842,28.0,0.3448275862068966,0.6206896551724138
PRV51066,19000.0,5790.0,24790.0,3.280953203246417,2.0,22.0,No,3.280953203246417,0.23355249889072646,6333.333333333333,251.7391304347826,24.0,0.08,0.88
PRV51067,326000.0,8520.0,334520.0,38.258420373195634,12.0,46.0,Yes,38.258420373195634,0.02546925305137794,25076.923076923078,181.27659574468086,58.0,0.2033898305084746,0.7796610169491526
PRV51068,77000.0,66260.0,143260.0,1.1620712032719096,9.0,252.0,No,1.1620712032719096,0.4625124772268796,7700.0,261.897233201581,261.0,0.03435114503816794,0.9618320610687023
PRV51070,101000.0,24410.0,125410.0,4.137479005366433,10.0,89.0,No,4.137479005366433,0.19464002360239532,9181.818181818182,271.22222222222223,99.0,0.1,0.89
PRV51071,0.0,8550.0,8550.0,0.0,0.0,24.0,No,0.0,0.9998830546134955,0.0,342.0,24.0,0.0,0.96
PRV51072,72000.0,47170.0,119170.0,1.5263615356893006,12.0,200.0,No,1.5263615356893006,0.39581777445855115,5538.461538461538,234.6766169154229,212.0,0.056338028169014086,0.9389671361502347
PRV51074,31000.0,10170.0,41170.0,3.0478812309507424,5.0,34.0,No,3.0478812309507424,0.24701853246216998,5166.666666666667,290.57142857142856,39.0,0.125,0.85
PRV51075,0.0,8550.0,8550.0,0.0,0.0,17.0,No,0.0,0.9998830546134955,0.0,475.0,17.0,0.0,0.9444444444444444
PRV51076,0.0,10230.0,10230.0,0.0,0.0,29.0,No,0.0,0.999902257843808,0.0,341.0,29.0,0.0,0.9666666666666667
PRV51077,199000.0,5350.0,204350.0,37.1893104092693,16.0,17.0,Yes,37.1893104092693,0.026180444431395,11705.882352941177,297.22222222222223,33.0,0.47058823529411764,0.5
PRV51078,76000.0,2270.0,78270.0,33.46543372963452,9.0,14.0,No,33.46543372963452,0.02900180143348111,7600.0,151.33333333333334,23.0,0.375,0.5833333333333334
PRV51081,79000.0,45080.0,124080.0,1.7524012333355516,6.0,194.0,No,1.7524012333355516,0.3633110629346959,11285.714285714286,231.17948717948718,200.0,0.029850746268656716,0.9651741293532339
PRV51082,0.0,5470.0,5470.0,0.0,0.0,34.0,No,0.0,0.9998172180588558,0.0,156.28571428571428,34.0,0.0,0.9714285714285714
