Provider,IP_Claims_Total,OP_Claims_Total,Total_Reimbursed,Claim_Ratio,Inpatient_Visits,Outpatient_Visits,PotentialFraud,Claim_Ratio_IP_to_OP,Claim_Ratio_OP_to_Total,Avg_IP_Claim,Avg_OP_Claim,Total_Visits,IP_to_Total_Visit_Ratio,OP_to_Total_Visit_Ratio,Avg_IP_Claims_Per_Month,Max_IP_Claims_Per_Month,Std_IP_Claims_Per_Month,Avg_OP_Claims_Per_Month,Max_OP_Claims_Per_Month,Std_OP_Claims_Per_Month
PRV51001,97000.0,7640.0,104640.0,12.69467347205863,5.0,20.0,No,12.69467347205863,0.0730115346757007,16166.666666666666,363.8095238095238,25.0,0.1923076923076923,0.7692307692307693,1.6666666666666667,2.0,0.5773502691896258,2.0,3.0,0.816496580927726
PRV51003,573000.0,32670.0,605670.0,17.538489792170427,62.0,70.0,Yes,17.538489792170427,0.0539401754417827,9095.238095238095,460.1408450704225,132.0,0.4661654135338345,0.5263157894736842,4.769230769230769,9.0,2.087815690853567,5.833333333333333,9.0,1.696699112626596
PRV51004,0.0,52170.0,52170.0,0.0,0.0,149.0,No,0.0,0.9999808322631348,0.0,347.8,149.0,0.0,0.9933333333333332,0.0,0.0,0.0,12.416666666666666,19.0,3.629633924274241
PRV51005,0.0,280910.0,280910.0,0.0,0.0,1165.0,Yes,0.0,0.999996440153643,0.0,240.917667238422,1165.0,0.0,0.9991423670668954,0.0,0.0,0.0,89.61538461538461,113.0,28.871954273823295
PRV51007,19000.0,14710.0,33710.0,1.2915505404119367,3.0,69.0,No,1.2915505404119367,0.4363560855507104,4750.0,210.14285714285717,72.0,0.0410958904109589,0.9452054794520548,1.0,1.0,0.0,5.75,9.0,2.0943647333651407
PRV51008,25000.0,10630.0,35630.0,2.351613206659769,2.0,41.0,No,2.351613206659769,0.2983357188964665,8333.333333333334,253.0952380952381,43.0,0.0454545454545454,0.9318181818181818,1.0,1.0,0.0,3.4166666666666665,6.0,1.5642792899510294
PRV51011,5000.0,11630.0,16630.0,0.429885650416989,1.0,57.0,No,0.429885650416989,0.6992964944982262,2500.0,200.51724137931035,58.0,0.0169491525423728,0.9661016949152542,1.0,1.0,0.0,4.75,8.0,2.220769727328383
PRV51012,0.0,16890.0,16890.0,0.0,0.0,48.0,No,0.0,0.999940796874075,0.0,344.6938775510204,48.0,0.0,0.979591836734694,0.0,0.0,0.0,4.0,12.0,3.1622776601683795
PRV51013,0.0,14880.0,14880.0,0.0,0.0,46.0,No,0.0,0.9999328002150392,0.0,316.59574468085106,46.0,0.0,0.9787234042553192,0.0,0.0,0.0,3.8333333333333335,6.0,1.5859229221975182
PRV51014,0.0,10480.0,10480.0,0.0,0.0,30.0,No,0.0,0.9999045892567504,0.0,338.06451612903226,30.0,0.0,0.967741935483871,0.0,0.0,0.0,3.0,6.0,1.3333333333333333
PRV51015,0.0,700.0,700.0,0.0,0.0,8.0,No,0.0,0.9985734664764622,0.0,77.77777777777777,8.0,0.0,0.8888888888888888,0.0,0.0,0.0,1.3333333333333333,2.0,0.5163977794943223
PRV51016,0.0,170.0,170.0,0.0,0.0,6.0,No,0.0,0.9941520467836256,0.0,24.285714285714285,6.0,0.0,0.8571428571428571,0.0,0.0,0.0,1.2,2.0,0.4472135954999579
PRV51017,0.0,142720.0,142720.0,0.0,0.0,515.0,No,0.0,0.9999929933226364,0.0,276.5891472868217,515.0,0.0,0.998062015503876,0.0,0.0,0.0,39.61538461538461,55.0,12.99704108338036
PRV51021,269000.0,79830.0,348830.0,3.36961831869825,29.0,228.0,Yes,3.36961831869825,0.2288500735313088,8966.666666666666,348.6026200873362,257.0,0.1124031007751938,0.8837209302325582,2.4166666666666665,7.0,2.0207259421636903,17.53846153846154,25.0,6.279800748104787
PRV51023,54000.0,11610.0,65610.0,4.6507622082507964,9.0,27.0,No,4.6507622082507964,0.1769520354818551,5400.0,414.6428571428572,36.0,0.2432432432432432,0.7297297297297297,1.2857142857142858,2.0,0.48795003647426666,2.25,4.0,1.0552897060221726
PRV51024,61000.0,3050.0,64050.0,19.993444772205837,9.0,30.0,No,19.993444772205837,0.0476183041638694,6100.0,98.38709677419357,39.0,0.225,0.75,1.2857142857142858,2.0,0.4879500364742666,3.0,5.0,1.1547005383792515
PRV51025,86000.0,32350.0,118350.0,2.6583413186609377,13.0,74.0,No,2.6583413186609377,0.2733394732617384,6142.857142857143,431.3333333333333,87.0,0.1477272727272727,0.8409090909090909,1.4444444444444444,3.0,0.7264831572567789,5.6923076923076925,10.0,2.562050460881394
PRV51026,0.0,19840.0,19840.0,0.0,0.0,76.0,No,0.0,0.9999495993145506,0.0,257.6623376623377,76.0,0.0,0.987012987012987,0.0,0.0,0.0,6.333333333333333,11.0,3.2286595398465945
PRV51027,0.0,29840.0,29840.0,0.0,0.0,53.0,No,0.0,0.9999664890586776,0.0,552.5925925925926,53.0,0.0,0.9814814814814816,0.0,0.0,0.0,4.416666666666667,6.0,1.3113721705515067
PRV51029,0.0,30660.0,30660.0,0.0,0.0,93.0,No,0.0,0.9999673852777144,0.0,326.17021276595744,93.0,0.0,0.9893617021276596,0.0,0.0,0.0,7.75,11.0,1.9128750375000738
PRV51030,705600.0,34160.0,739760.0,20.655133046456484,82.0,89.0,No,20.655133046456484,0.0461770761097165,8501.204819277109,379.55555555555554,171.0,0.4767441860465116,0.5174418604651163,6.833333333333333,11.0,2.2087978356535665,7.416666666666667,13.0,2.7122058561364044
PRV51031,329000.0,30720.0,359720.0,10.709286807070082,28.0,157.0,No,10.709286807070082,0.0853995179597521,11344.827586206897,194.43037974683543,185.0,0.1505376344086021,0.8440860215053764,2.3333333333333335,3.0,0.7784989441615229,13.083333333333334,18.0,4.3161079549506045
PRV51032,0.0,5420.0,5420.0,0.0,0.0,23.0,No,0.0,0.9998155321896328,0.0,225.83333333333331,23.0,0.0,0.9583333333333334,0.0,0.0,0.0,2.090909090909091,4.0,1.2210278829367867
PRV51035,29000.0,3560.0,32560.0,8.143779837124404,1.0,29.0,No,8.143779837124404,0.1093332514357667,14500.0,118.66666666666669,30.0,0.032258064516129,0.935483870967742,1.0,1.0,0.0,2.230769230769231,4.0,1.0127393670836666
PRV51036,0.0,74880.0,74880.0,0.0,0.0,278.0,No,0.0,0.9999866454774908,0.0,268.38709677419354,278.0,0.0,0.996415770609319,0.0,0.0,0.0,21.384615384615383,31.0,8.301992346604333
PRV51037,214000.0,128230.0,342230.0,1.6688632234015175,23.0,431.0,Yes,1.6688632234015175,0.3746884414328333,8916.666666666666,296.8287037037037,454.0,0.0505494505494505,0.9472527472527472,2.090909090909091,4.0,1.044465935734187,33.15384615384615,43.0,11.545895041428894
PRV51038,229600.0,35890.0,265490.0,6.397146917054415,30.0,111.0,No,6.397146917054415,0.1351834902124742,7406.451612903225,320.44642857142856,141.0,0.2112676056338028,0.7816901408450704,2.5,7.0,1.7320508075688772,9.25,13.0,2.0056737702645644
PRV51040,63000.0,11470.0,74470.0,5.492110539621654,9.0,77.0,No,5.492110539621654,0.1540196855151669,6300.0,147.05128205128204,86.0,0.1034482758620689,0.8850574712643678,1.5,2.0,0.5477225575051661,6.416666666666667,10.0,2.0652243256245835
PRV51041,0.0,7410.0,7410.0,0.0,0.0,34.0,No,0.0,0.99986506544326,0.0,211.7142857142857,34.0,0.0,0.9714285714285714,0.0,0.0,0.0,2.8333333333333335,6.0,1.4034589305344742
PRV51042,0.0,48050.0,48050.0,0.0,0.0,142.0,No,0.0,0.9999791887785894,0.0,336.013986013986,142.0,0.0,0.993006993006993,0.0,0.0,0.0,11.833333333333334,19.0,3.713203305486893
PRV51043,0.0,4480.0,4480.0,0.0,0.0,23.0,No,0.0,0.999776835527784,0.0,186.66666666666663,23.0,0.0,0.9583333333333334,0.0,0.0,0.0,2.5555555555555554,5.0,1.3333333333333333
PRV51044,0.0,21330.0,21330.0,0.0,0.0,59.0,No,0.0,0.999953119872486,0.0,355.5,59.0,0.0,0.9833333333333332,0.0,0.0,0.0,5.363636363636363,8.0,1.433368568981982
PRV51045,0.0,8390.0,8390.0,0.0,0.0,31.0,No,0.0,0.9998808246931236,0.0,262.1875,31.0,0.0,0.96875,0.0,0.0,0.0,3.1,5.0,1.66332999331662
PRV51046,101000.0,8370.0,109370.0,12.065464102257796,8.0,30.0,No,12.065464102257796,0.0765285130427627,11222.222222222224,270.0,38.0,0.2051282051282051,0.7692307692307693,1.1428571428571428,2.0,0.3779644730092272,3.0,6.0,1.5634719199411433
PRV51047,0.0,2530.0,2530.0,0.0,0.0,11.0,No,0.0,0.9996048992493086,0.0,210.83333333333331,11.0,0.0,0.9166666666666666,0.0,0.0,0.0,1.5714285714285714,3.0,0.7867957924694431
PRV51048,19000.0,8700.0,27700.0,2.183657050913688,4.0,34.0,No,2.183657050913688,0.3140680841846864,3800.0,248.57142857142856,38.0,0.1025641025641025,0.8717948717948718,1.3333333333333333,2.0,0.5773502691896257,3.090909090909091,6.0,1.7002673586554236
PRV51049,0.0,21720.0,21720.0,0.0,0.0,71.0,No,0.0,0.9999539616039778,0.0,301.6666666666667,71.0,0.0,0.9861111111111112,0.0,0.0,0.0,5.461538461538462,9.0,2.2954805094425805
PRV51052,14000.0,16800.0,30800.0,0.8332837331111244,2.0,44.0,Yes,0.8332837331111244,0.5454368364663484,4666.666666666667,373.3333333333333,46.0,0.0425531914893617,0.9361702127659576,1.0,1.0,0.0,3.6666666666666665,6.0,1.556997888323046
PRV51053,8000.0,0.0,8000.0,8000.0,1.0,0.0,No,8000.0,0.0,4000.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
PRV51054,0.0,15130.0,15130.0,0.0,0.0,57.0,No,0.0,0.999933910514837,0.0,260.86206896551727,57.0,0.0,0.9827586206896552,0.0,0.0,0.0,4.75,8.0,1.815338686155987
PRV51055,16700.0,4940.0,21640.0,3.3798826148552923,2.0,20.0,No,3.3798826148552923,0.228270412642669,5566.666666666667,235.23809523809524,22.0,0.0869565217391304,0.8695652173913043,1.0,1.0,0.0,2.2222222222222223,5.0,1.3017082793177757
PRV51056,8000.0,6700.0,14700.0,1.1938516639307566,2.0,20.0,No,1.1938516639307566,0.4557513094347323,2666.6666666666665,319.04761904761904,22.0,0.0869565217391304,0.8695652173913043,1.0,1.0,0.0,2.0,4.0,1.247219128924647
PRV51057,0.0,6830.0,6830.0,0.0,0.0,5.0,No,0.0,0.9998536085492608,0.0,1138.3333333333333,5.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0
PRV51058,91000.0,16030.0,107030.0,5.676501777805502,5.0,78.0,No,5.676501777805502,0.1497696928927133,15166.666666666666,202.91139240506328,83.0,0.0595238095238095,0.9285714285714286,1.0,1.0,0.0,6.5,15.0,3.289100457295553
PRV51059,401000.0,20060.0,421060.0,19.98903344798365,25.0,71.0,Yes,19.98903344798365,0.0476415531241316,15423.076923076924,278.6111111111111,96.0,0.2577319587628865,0.7319587628865979,2.272727272727273,3.0,0.7862453931068966,5.916666666666667,11.0,2.314316444667973
PRV51060,35000.0,8710.0,43710.0,4.017908391688669,5.0,37.0,No,4.017908391688669,0.1992633433231909,5833.333333333333,229.21052631578948,42.0,0.1162790697674418,0.8604651162790697,1.25,2.0,0.5,3.3636363636363638,12.0,3.3248376583745336
PRV51061,3000.0,51940.0,54940.0,0.0577578406268651,1.0,144.0,No,0.0577578406268651,0.9453777688793432,1500.0,358.2068965517241,145.0,0.0068493150684931,0.9863013698630136,1.0,1.0,0.0,12.0,17.0,2.73030134866931
PRV51062,45000.0,108380.0,153380.0,0.4152019265369391,3.0,394.0,No,0.4152019265369391,0.70660642452455,11250.0,274.37974683544303,397.0,0.007537688442211,0.9899497487437184,1.0,1.0,0.0,30.307692307692307,45.0,10.20118142981991
PRV51063,0.0,51110.0,51110.0,0.0,0.0,149.0,No,0.0,0.9999804347400756,0.0,340.7333333333333,149.0,0.0,0.9933333333333332,0.0,0.0,0.0,11.461538461538462,18.0,4.719028583218242
PRV51064,280000.0,80320.0,360320.0,3.4860123753439325,36.0,267.0,Yes,3.4860123753439325,0.2229123476011667,7567.567567567567,299.7014925373134,303.0,0.1184210526315789,0.8782894736842105,3.0,6.0,1.348399724926484,20.53846153846154,28.0,7.241263524820612
PRV51065,75000.0,1570.0,76570.0,47.740292807129215,10.0,18.0,No,47.740292807129215,0.0205038461036162,6818.181818181818,82.63157894736842,28.0,0.3448275862068966,0.6206896551724138,1.25,2.0,0.4629100498862757,1.5,4.0,0.904534033733291
PRV51066,19000.0,5790.0,24790.0,3.280953203246417,2.0,22.0,No,3.280953203246417,0.2335524988907264,6333.333333333333,251.7391304347826,24.0,0.08,0.88,1.0,1.0,0.0,1.8333333333333333,3.0,0.834847109936722
PRV51067,326000.0,8520.0,334520.0,38.258420373195634,12.0,46.0,Yes,38.258420373195634,0.0254692530513779,25076.92307692308,181.2765957446809,58.0,0.2033898305084746,0.7796610169491526,1.7142857142857142,4.0,1.1126972805283737,4.181818181818182,6.0,1.8340219092574561
PRV51068,77000.0,66260.0,143260.0,1.1620712032719096,9.0,252.0,No,1.1620712032719096,0.4625124772268796,7700.0,261.897233201581,261.0,0.0343511450381679,0.9618320610687024,1.2857142857142858,2.0,0.4879500364742666,19.384615384615383,27.0,6.19863508549075
PRV51070,101000.0,24410.0,125410.0,4.137479005366433,10.0,89.0,No,4.137479005366433,0.1946400236023953,9181.818181818182,271.22222222222223,99.0,0.1,0.89,1.4285714285714286,2.0,0.5345224838248488,6.846153846153846,15.0,3.2620584974867697
PRV51071,0.0,8550.0,8550.0,0.0,0.0,24.0,No,0.0,0.9998830546134956,0.0,342.0,24.0,0.0,0.96,0.0,0.0,0.0,2.1818181818181817,4.0,0.7507571935295484
PRV51072,72000.0,47170.0,119170.0,1.5263615356893006,12.0,200.0,No,1.5263615356893006,0.3958177744585511,5538.461538461538,234.6766169154229,212.0,0.056338028169014,0.9389671361502347,1.2,2.0,0.4216370213557839,16.666666666666668,21.0,3.339388439746887
PRV51074,31000.0,10170.0,41170.0,3.0478812309507424,5.0,34.0,No,3.0478812309507424,0.2470185324621699,5166.666666666667,290.57142857142856,39.0,0.125,0.85,1.0,1.0,0.0,2.6153846153846154,6.0,1.3867504905630728
PRV51075,0.0,8550.0,8550.0,0.0,0.0,17.0,No,0.0,0.9998830546134956,0.0,475.0,17.0,0.0,0.9444444444444444,0.0,0.0,0.0,1.8888888888888888,3.0,0.927960727138337
PRV51076,0.0,10230.0,10230.0,0.0,0.0,29.0,No,0.0,0.999902257843808,0.0,341.0,29.0,0.0,0.9666666666666668,0.0,0.0,0.0,2.4166666666666665,4.0,0.90033663737852
PRV51077,199000.0,5350.0,204350.0,37.1893104092693,16.0,17.0,Yes,37.1893104092693,0.026180444431395,11705.882352941177,297.22222222222223,33.0,0.4705882352941176,0.5,1.4545454545454546,3.0,0.6875516509523286,1.7,5.0,1.2516655570345725
PRV51078,76000.0,2270.0,78270.0,33.46543372963452,9.0,14.0,No,33.46543372963452,0.0290018014334811,7600.0,151.33333333333334,23.0,0.375,0.5833333333333334,1.5,2.0,0.5477225575051661,1.75,4.0,1.0350983390135313
PRV51081,79000.0,45080.0,124080.0,1.7524012333355516,6.0,194.0,No,1.7524012333355516,0.3633110629346959,11285.714285714286,231.1794871794872,200.0,0.0298507462686567,0.965174129353234,1.2,2.0,0.4472135954999579,14.923076923076923,22.0,5.376825867578047
PRV51082,0.0,5470.0,5470.0,0.0,0.0,34.0,No,0.0,0.9998172180588558,0.0,156.28571428571428,34.0,0.0,0.9714285714285714,0.0,0.0,0.0,3.4,5.0,1.3498971154211057
PRV51083,0.0,18100.0,18100.0,0.0,0.0,90.0,No,0.0,0.9999447544334568,0.0,198.9010989010989,90.0,0.0,0.989010989010989,0.0,0.0,0.0,7.5,11.0,1.7320508075688772
PRV51084,191000.0,24580.0,215580.0,7.770229038688418,20.0,90.0,Yes,7.770229038688418,0.1140174690719497,9095.238095238095,270.1098901098901,110.0,0.1801801801801801,0.8108108108108109,2.0,6.0,1.5634719199411433,7.5,13.0,2.8444523358476386
PRV51086,413000.0,33170.0,446170.0,12.450634590455518,31.0,108.0,No,12.450634590455518,0.0743436933373078,12906.25,304.3119266055046,139.0,0.2214285714285714,0.7714285714285715,2.8181818181818183,5.0,1.1677484162422844,9.0,14.0,2.593698657761292
PRV51089,177000.0,53900.0,230900.0,3.283798074247231,18.0,210.0,No,3.283798074247231,0.2334333762088514,9315.78947368421,255.45023696682463,228.0,0.0786026200873362,0.9170305676855895,1.8,4.0,0.9189365834726814,17.5,23.0,3.8257500750001476
PRV51090,0.0,5830.0,5830.0,0.0,0.0,7.0,No,0.0,0.9998285028297031,0.0,728.75,7.0,0.0,0.875,0.0,0.0,0.0,1.1666666666666667,2.0,0.408248290463863
PRV51091,0.0,9270.0,9270.0,0.0,0.0,44.0,No,0.0,0.9998921367705748,0.0,206.0,44.0,0.0,0.9777777777777776,0.0,0.0,0.0,3.6666666666666665,7.0,1.3706888336846839
PRV51093,11000.0,2710.0,13710.0,4.057543341940243,2.0,7.0,No,4.057543341940243,0.1976515206768288,3666.6666666666665,338.75,9.0,0.2,0.7,1.0,1.0,0.0,1.0,1.0,0.0
PRV51096,0.0,3200.0,3200.0,0.0,0.0,5.0,No,0.0,0.999687597625742,0.0,533.3333333333334,5.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.25,2.0,0.5
PRV51097,0.0,44420.0,44420.0,0.0,0.0,125.0,No,0.0,0.999977488124986,0.0,352.53968253968253,125.0,0.0,0.992063492063492,0.0,0.0,0.0,9.615384615384615,14.0,3.2025630761017427
PRV51098,0.0,300.0,300.0,0.0,0.0,4.0,No,0.0,0.9966777408637874,0.0,60.0,4.0,0.0,0.8,0.0,0.0,0.0,1.3333333333333333,2.0,0.5773502691896257
PRV51100,78000.0,0.0,78000.0,78000.0,5.0,0.0,No,78000.0,0.0,13000.0,0.0,5.0,0.8333333333333334,0.0,1.6666666666666667,3.0,1.1547005383792517,0.0,0.0,0.0
PRV51101,16600.0,0.0,16600.0,16600.0,3.0,0.0,No,16600.0,0.0,4150.0,0.0,3.0,0.75,0.0,1.5,2.0,0.7071067811865476,0.0,0.0,0.0
