Provider,IP_Claims_Total,OP_Claims_Total,Total_Reimbursed,Claim_Ratio,Inpatient_Visits,Outpatient_Visits,PotentialFraud,Total_Claims,Claim_Ratio_IP_to_OP,Claim_Ratio_OP_to_Total,Avg_IP_Claim,Avg_OP_Claim,Total_Visits,IP_to_Total_Visit_Ratio,OP_to_Total_Visit_Ratio
PRV51012,0.0,16890.0,16890.0,0.0,0.0,48.0,No,16890.0,0.0,0.999940796874075,0.0,344.6938775510204,48.0,0.0,0.979591836734694
PRV51013,0.0,14880.0,14880.0,0.0,0.0,46.0,No,14880.0,0.0,0.9999328002150392,0.0,316.59574468085106,46.0,0.0,0.9787234042553192
PRV51014,0.0,10480.0,10480.0,0.0,0.0,30.0,No,10480.0,0.0,0.9999045892567504,0.0,338.06451612903226,30.0,0.0,0.967741935483871
PRV51015,0.0,700.0,700.0,0.0,0.0,8.0,No,700.0,0.0,0.9985734664764622,0.0,77.77777777777777,8.0,0.0,0.8888888888888888
PRV51026,0.0,19840.0,19840.0,0.0,0.0,76.0,No,19840.0,0.0,0.9999495993145506,0.0,257.6623376623377,76.0,0.0,0.987012987012987
PRV51027,0.0,29840.0,29840.0,0.0,0.0,53.0,No,29840.0,0.0,0.9999664890586776,0.0,552.5925925925926,53.0,0.0,0.9814814814814816
PRV51029,0.0,30660.0,30660.0,0.0,0.0,93.0,No,30660.0,0.0,0.9999673852777144,0.0,326.17021276595744,93.0,0.0,0.9893617021276596
PRV51032,0.0,5420.0,5420.0,0.0,0.0,23.0,No,5420.0,0.0,0.9998155321896328,0.0,225.83333333333331,23.0,0.0,0.9583333333333334
PRV51041,0.0,7410.0,7410.0,0.0,0.0,34.0,No,7410.0,0.0,0.99986506544326,0.0,211.7142857142857,34.0,0.0,0.9714285714285714
PRV51043,0.0,4480.0,4480.0,0.0,0.0,23.0,No,4480.0,0.0,0.999776835527784,0.0,186.66666666666663,23.0,0.0,0.9583333333333334
PRV51044,0.0,21330.0,21330.0,0.0,0.0,59.0,No,21330.0,0.0,0.999953119872486,0.0,355.5,59.0,0.0,0.9833333333333332
PRV51045,0.0,8390.0,8390.0,0.0,0.0,31.0,No,8390.0,0.0,0.9998808246931236,0.0,262.1875,31.0,0.0,0.96875
PRV51047,0.0,2530.0,2530.0,0.0,0.0,11.0,No,2530.0,0.0,0.9996048992493086,0.0,210.83333333333331,11.0,0.0,0.9166666666666666
PRV51049,0.0,21720.0,21720.0,0.0,0.0,71.0,No,21720.0,0.0,0.9999539616039778,0.0,301.6666666666667,71.0,0.0,0.9861111111111112
PRV51054,0.0,15130.0,15130.0,0.0,0.0,57.0,No,15130.0,0.0,0.999933910514837,0.0,260.86206896551727,57.0,0.0,0.9827586206896552
PRV51071,0.0,8550.0,8550.0,0.0,0.0,24.0,No,8550.0,0.0,0.9998830546134956,0.0,342.0,24.0,0.0,0.96
PRV51075,0.0,8550.0,8550.0,0.0,0.0,17.0,No,8550.0,0.0,0.9998830546134956,0.0,475.0,17.0,0.0,0.9444444444444444
PRV51076,0.0,10230.0,10230.0,0.0,0.0,29.0,No,10230.0,0.0,0.999902257843808,0.0,341.0,29.0,0.0,0.9666666666666668
PRV51082,0.0,5470.0,5470.0,0.0,0.0,34.0,No,5470.0,0.0,0.9998172180588558,0.0,156.28571428571428,34.0,0.0,0.9714285714285714
PRV51083,0.0,18100.0,18100.0,0.0,0.0,90.0,No,18100.0,0.0,0.9999447544334568,0.0,198.9010989010989,90.0,0.0,0.989010989010989
PRV51091,0.0,9270.0,9270.0,0.0,0.0,44.0,No,9270.0,0.0,0.9998921367705748,0.0,206.0,44.0,0.0,0.9777777777777776
PRV51096,0.0,3200.0,3200.0,0.0,0.0,5.0,No,3200.0,0.0,0.999687597625742,0.0,533.3333333333334,5.0,0.0,0.8333333333333334
PRV51104,0.0,1900.0,1900.0,0.0,0.0,12.0,No,1900.0,0.0,0.9994739610731194,0.0,146.15384615384616,12.0,0.0,0.9230769230769232
PRV51105,0.0,6540.0,6540.0,0.0,0.0,12.0,No,6540.0,0.0,0.9998471181776488,0.0,503.0769230769231,12.0,0.0,0.9230769230769232
PRV51115,0.0,980.0,980.0,0.0,0.0,7.0,No,980.0,0.0,0.9989806320081548,0.0,122.5,7.0,0.0,0.875
PRV51117,0.0,1950.0,1950.0,0.0,0.0,12.0,No,1950.0,0.0,0.9994874423372628,0.0,150.0,12.0,0.0,0.9230769230769232
PRV51122,0.0,1120.0,1120.0,0.0,0.0,7.0,No,1120.0,0.0,0.9991079393398752,0.0,140.0,7.0,0.0,0.875
PRV51129,0.0,22920.0,22920.0,0.0,0.0,96.0,No,22920.0,0.0,0.9999563718860434,0.0,236.28865979381445,96.0,0.0,0.9896907216494846
PRV51131,0.0,1160.0,1160.0,0.0,0.0,8.0,No,1160.0,0.0,0.9991386735572784,0.0,128.88888888888889,8.0,0.0,0.8888888888888888
PRV51134,0.0,7610.0,7610.0,0.0,0.0,15.0,No,7610.0,0.0,0.9998686112206018,0.0,475.625,15.0,0.0,0.9375
PRV51141,0.0,19490.0,19490.0,0.0,0.0,71.0,No,19490.0,0.0,0.99994869426915,0.0,270.69444444444446,71.0,0.0,0.9861111111111112
PRV51143,0.0,20450.0,20450.0,0.0,0.0,77.0,No,20450.0,0.0,0.999951102635568,0.0,262.1794871794872,77.0,0.0,0.9871794871794872
PRV51147,0.0,8860.0,8860.0,0.0,0.0,32.0,No,8860.0,0.0,0.999887145920325,0.0,268.4848484848485,32.0,0.0,0.9696969696969696
PRV51152,0.0,25770.0,25770.0,0.0,0.0,83.0,No,25770.0,0.0,0.9999611966939584,0.0,306.7857142857143,83.0,0.0,0.988095238095238
PRV51169,0.0,19380.0,19380.0,0.0,0.0,77.0,No,19380.0,0.0,0.9999484030751769,0.0,248.46153846153845,77.0,0.0,0.9871794871794872
PRV51171,0.0,13820.0,13820.0,0.0,0.0,59.0,No,13820.0,0.0,0.9999276463352867,0.0,230.33333333333331,59.0,0.0,0.9833333333333332
PRV51175,0.0,9650.0,9650.0,0.0,0.0,41.0,No,9650.0,0.0,0.9998963837944256,0.0,229.7619047619048,41.0,0.0,0.9761904761904762
PRV51179,0.0,5000.0,5000.0,0.0,0.0,26.0,No,5000.0,0.0,0.9998000399920016,0.0,185.1851851851852,26.0,0.0,0.9629629629629628
PRV51181,0.0,2150.0,2150.0,0.0,0.0,10.0,No,2150.0,0.0,0.99953509995351,0.0,195.45454545454547,10.0,0.0,0.9090909090909092
PRV51185,0.0,1590.0,1590.0,0.0,0.0,8.0,No,1590.0,0.0,0.9993714644877436,0.0,176.66666666666666,8.0,0.0,0.8888888888888888
PRV51189,0.0,8740.0,8740.0,0.0,0.0,56.0,No,8740.0,0.0,0.9998855966136596,0.0,153.33333333333334,56.0,0.0,0.9824561403508772
PRV51191,0.0,10990.0,10990.0,0.0,0.0,32.0,No,10990.0,0.0,0.9999090164680192,0.0,333.030303030303,32.0,0.0,0.9696969696969696
PRV51200,0.0,4420.0,4420.0,0.0,0.0,19.0,No,4420.0,0.0,0.9997738068310336,0.0,221.0,19.0,0.0,0.95
PRV51201,0.0,10660.0,10660.0,0.0,0.0,45.0,No,10660.0,0.0,0.9999062001688396,0.0,231.7391304347826,45.0,0.0,0.9782608695652174
PRV51202,0.0,5010.0,5010.0,0.0,0.0,12.0,No,5010.0,0.0,0.999800439034125,0.0,385.38461538461536,12.0,0.0,0.9230769230769232
PRV51205,0.0,4660.0,4660.0,0.0,0.0,10.0,No,4660.0,0.0,0.9997854537652864,0.0,423.6363636363636,10.0,0.0,0.9090909090909092
PRV51206,0.0,1560.0,1560.0,0.0,0.0,10.0,No,1560.0,0.0,0.9993593850096092,0.0,141.8181818181818,10.0,0.0,0.9090909090909092
PRV51209,0.0,9910.0,9910.0,0.0,0.0,42.0,No,9910.0,0.0,0.99989910200787,0.0,230.46511627906975,42.0,0.0,0.9767441860465116
PRV51210,0.0,2890.0,2890.0,0.0,0.0,9.0,No,2890.0,0.0,0.9996540989277066,0.0,289.0,9.0,0.0,0.9
PRV51212,0.0,6260.0,6260.0,0.0,0.0,15.0,No,6260.0,0.0,0.9998402811052548,0.0,391.25,15.0,0.0,0.9375
PRV51214,0.0,3200.0,3200.0,0.0,0.0,8.0,No,3200.0,0.0,0.999687597625742,0.0,355.55555555555554,8.0,0.0,0.8888888888888888
PRV51215,0.0,1610.0,1610.0,0.0,0.0,10.0,No,1610.0,0.0,0.999379267535692,0.0,146.36363636363637,10.0,0.0,0.9090909090909092
PRV51216,0.0,15560.0,15560.0,0.0,0.0,71.0,No,15560.0,0.0,0.999935736777842,0.0,216.11111111111111,71.0,0.0,0.9861111111111112
PRV51217,0.0,2930.0,2930.0,0.0,0.0,5.0,No,2930.0,0.0,0.9996588195155236,0.0,488.3333333333333,5.0,0.0,0.8333333333333334
PRV51218,0.0,520.0,520.0,0.0,0.0,7.0,No,520.0,0.0,0.9980806142034548,0.0,65.0,7.0,0.0,0.875
PRV51222,0.0,860.0,860.0,0.0,0.0,5.0,No,860.0,0.0,0.9988385598141696,0.0,143.33333333333334,5.0,0.0,0.8333333333333334
PRV51224,0.0,3130.0,3130.0,0.0,0.0,7.0,No,3130.0,0.0,0.9996806132226126,0.0,391.25,7.0,0.0,0.875
PRV51225,0.0,1190.0,1190.0,0.0,0.0,8.0,No,1190.0,0.0,0.9991603694374476,0.0,132.22222222222223,8.0,0.0,0.8888888888888888
PRV51226,0.0,7430.0,7430.0,0.0,0.0,20.0,No,7430.0,0.0,0.9998654286098776,0.0,353.8095238095238,20.0,0.0,0.9523809523809524
PRV51229,0.0,12410.0,12410.0,0.0,0.0,47.0,No,12410.0,0.0,0.9999194263153656,0.0,258.5416666666667,47.0,0.0,0.9791666666666666
